"","Country_or_Area","Max_y","Year","Area","Divorces","EducationF","EducationM","GDPpc","LitParityIndex","LiteracyF","LiteracyM","SingulateAgeWomen","SingulateAgeMen","Marriages","PopulationF","PopulationM"
"70","Mexico","2017","2017","Total",147581,1198441,1186417,19844.6456685975,1,97.6,97.6,23,25.5,501298,53347441,50918951
"71","Monaco","2018","2017","Total",69,NA,NA,NA,NA,NA,NA,NA,NA,182,16476,15544
"72","Mongolia","2018","2017","Total",3945,76049,47775,13799.9048471337,1.01,98.4,97,24.2,26.2,21020,1293313,1287391
"73","Montenegro","2018","2017","Total",765,NA,NA,20689.9867512224,NA,NA,NA,26.2,30.7,3321,311806,296163
"74","Netherlands","2017","2017","Total",32768,288081,276902,56328.9411363302,NA,NA,NA,31.5,33.9,64315,8252623,8075067
"75","New Caledonia","2010","2010","Total",309,NA,NA,NA,NA,99.1,99,31.9,33.7,894,116159,118026
"76","New Zealand","2018","2017","Total",8001,140941,99042,41005.4208705895,NA,NA,NA,25.6,27,20949,2081046,2016066
"77","North Macedonia","2018","2017","Total",1994,NA,NA,16358.6620491976,NA,NA,NA,NA,NA,13494,NA,NA
"78","Norway","2017","2017","Total",10567,127456,86484,65510.5852742471,NA,NA,NA,31.8,33.9,21704,2337083,2301753
"79","Panama","2017","2017","Total",4470,77200,49042,25553.6967088531,0.99,95.6,96.5,21.6,25.3,13360,1601395,1630107
"80","Peru","2017","2017","Total",15931,454510,454805,14418.070667873,0.98,96.3,97.9,23.5,26.6,79740,13609283,13664983
"81","Poland","2018","2017","Total",65257,1218072,900009,31336.6034966686,NA,NA,NA,25.3,28,192443,19730226,18465332
"82","Portugal","2017","2017","Total",21577,212053,168884,33415.4379006894,1,99.6,99.6,25.6,28.3,34637,5439107,5089119
"83","Puerto Rico","2018","2017","Total",8515,NA,NA,39540.5869304602,NA,86.3,86.5,24.1,26.2,13895,2054288,1892491
"84","Qatar","2017","2017","Total",1206,6641,3119,126898.425931605,1.03,97.5,94.9,25.4,27.3,3758,261598,534588
"85","Republic of Korea","2018","2017","Total",106032,NA,NA,NA,NA,NA,NA,28.8,32,257622,NA,NA
"86","Republic of Moldova","2018","2017","Total",9312,70046,48482,NA,1,99.7,99.7,21.9,25.4,20399,2021729,1854932
"87","Reunion","2015","2015","Total",1561,NA,NA,NA,NA,NA,NA,NA,NA,2866,401333,383826
"88","Romania","2017","2017","Total",31147,403697,335109,28206.3570497561,1,97.8,97.7,26.6,29.8,143292,11091347,10536210
"89","Russian Federation","2013","2013","Total",667971,5144099,3875457,NA,1,99.8,99.7,24.4,27,1225501,77139448,66813644
"90","Saint Helena ex. dep.","2017","2017","Total",0,NA,NA,NA,NA,NA,NA,NA,NA,10,2545,2612
"91","Saint Lucia","2014","2014","Total",55,1621,576,NA,NA,NA,NA,22.8,27.7,305,81995,79245
"92","Saint Vincent and the Grenadines","2014","2014","Total",39,NA,NA,NA,NA,NA,NA,21.2,27.8,574,NA,NA
"93","San Marino","2017","2017","Total",90,545,397,63037.1257778216,NA,NA,NA,28.8,31.3,151,14999,14422
"94","Senegal","2013","2013","Total",4393722,NA,NA,3782.53861264405,0.7,41,58.5,21.6,30,4530074,5904738,5865602
"95","Serbia","2018","2017","Total",9262,NA,NA,17434.916125391,NA,NA,NA,25.9,29.8,36321,4985075,4877951
"96","Seychelles","2018","2017","Total",207,NA,NA,30557.0757169393,1.01,99.4,98.8,25.2,27.3,3131,41823,40652
"97","Singapore","2018","2017","Total",7207,NA,NA,101531.630228067,1,99.6,99.4,27.9,30.4,27007,2149572,2177896
"98","Sint Maarten (Dutch part)","2017","2017","Total",91,NA,NA,31776.4060396618,NA,NA,NA,NA,NA,158,NA,NA
"99","Slovakia","2017","2017","Total",9618,100334,81085,NA,NA,NA,NA,29.1,31.4,31177,2773295,2613700
"100","Slovenia","2018","2017","Total",2387,64885,47343,38048.7846591976,1,99.9,99.8,30.7,33.2,7256,1024178,975247
"101","Spain","2018","2017","Total",97960,972119,837234,39715.4390594866,1,99.6,99.5,29.3,31.6,163430,22022115,21375376
"102","State of Palestine","2017","2017","Total",8568,NA,NA,NA,NA,NA,NA,24.2,27.9,47218,NA,NA
"103","Suriname","2017","2017","Total",855,3213,1973,15510.4646355856,0.98,94.1,95.6,28.8,31.8,1996,225950,226518
"104","Sweden","2018","2017","Total",24210,254325,172398,53208.8843603785,NA,NA,NA,31.4,33.5,50796,4557020,4481029
"105","Switzerland","2018","2017","Total",15906,91945,107751,68060.9410452501,NA,NA,NA,29.8,32.7,40716,3804652,3619737
"106","Tajikistan","2017","2017","Total",10053,30947,88370,3449.77931578962,1,99.8,99.8,22.1,24.7,78638,3297248,3252965
"107","Trinidad and Tobago","2013","2013","Total",2468,9405,7515,32014.7831311708,NA,99.5,99.5,28.1,31.4,8017,672684,651038
"108","Turkey","2017","2017","Total",128411,881919,1224432,28068.8594133348,0.95,93.3,98,24.2,NA,569459,36200745,36768978
"109","Turks and Caicos Islands","2017","2017","Total",18,NA,NA,25370.7335360339,NA,NA,NA,25.2,28.3,295,13812,13684
"110","Ukraine","2017","2017","Total",128734,1408242,1196633,9233.15046924005,1,99.8,99.8,23.1,25.9,249522,25255408,21662136
"111","United Kingdom of Great Britain and Northern Ireland","2016","2016","Total",118158,NA,NA,NA,NA,NA,NA,NA,NA,283559,NA,NA
"112","United States of America","2015","2015","Total",800909,9884782,7387262,NA,NA,NA,NA,26.9,28.8,2221579,152345290,147501159
"113","Uzbekistan","2017","2017","Total",31929,178904,228678,8556.05151229768,NA,NA,NA,20.6,NA,311379,13368948,13224175
"114","Venezuela (Bolivarian Republic of)","2017","2017","Total",22673,NA,NA,NA,NA,NA,NA,22.7,26,82213,NA,NA
"115","Viet Nam","2007","2007","Total",17946,NA,NA,NA,NA,NA,NA,22.7,26.2,480064,NA,NA
